Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2022,"Zona urbana",2022-10-10,"SE","999999","BARCELONA","Barcelones","Barcelona",1,0,0,1,2,1,0,0,0,0,1,0,0,"100","No","Si","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Un sol sentit","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",17.14,"Tarda","Atropellament","dill-dij"
2022,"Zona urbana",2022-11-04,"SE","999999","BARCELONA","Barcelones","Barcelona",0,1,0,1,2,1,0,0,1,0,0,0,0,"100","No","Si","Sense Especificar","Carril bus","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial insuficient","NA","Doble sentit","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana",21.05,"Tarda","Atropellament","div"
2022,"Carretera",2022-08-22,"TV-3403","0,5","AMPOSTA","Montsia","Tarragona",0,1,0,1,1,0,0,0,0,1,0,0,0,"999","No","No n'hi ha","Sense Especificar","NA","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","Feiners",22.59,"Nit","Sortida de la calcada sense especificar","dill-dij"
2022,"Zona urbana",2022-07-31,"SE","999999","BARCELONA","Barcelones","Barcelona",1,0,0,1,2,0,0,0,1,1,0,0,0,"100","No","Si","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De nit, il·luminació artificial insuficient","NA","Un sol sentit","Fregament o col·lisió lateral","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana",3.08,"Nit","Col.lisió de vehicles en marxa","dg"
2022,"Carretera",2022-05-29,"BP-4654","7,3","SANT AGUSTI DE LLUCA","Osona","Barcelona",1,0,0,1,1,0,0,0,0,1,0,0,0,"40","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","Si","No","No","No","Si","No","No","No","No","En secció","Senyal velocitat","De nit, sense llum artificial","NA","Doble sentit","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Provincial","Rampa o pendent","Calma, vent molt suau","CapDeSetmana",3.28,"Nit","Sortida de la calcada sense especificar","dg"
2022,"Carretera",2022-05-28,"N-260","238,9","RIBERA D'URGELLET","Alt Urgell","Lleida",0,1,0,1,1,0,0,0,1,0,0,0,0,"70","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Estatal","Rampa o pendent","Calma, vent molt suau","CapDeSetmana",9.47,"Matí","Sortida de la calcada sense especificar","dis"
2022,"Zona urbana",2022-06-24,"SE","999999","CERDANYOLA DEL VALLES","Valles Occidental","Barcelona",0,1,0,1,2,0,1,0,0,1,0,0,0,"NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Senyal Stop o cedeix pas","Un sol sentit","Fregament o col·lisió lateral","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners",3.4,"Nit","Col.lisió de vehicles en marxa","div"
2022,"Zona urbana",2022-07-27,"SE","999999","VILADECANS","Baix Llobregat","Barcelona",0,1,0,1,2,0,0,0,1,0,0,1,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Arribant o eixint intersecció fins 50m","Genérica via","De dia, dia clar","Semàfor","Doble sentit","Encalç","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",17.04,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2022,"Zona urbana",2022-06-08,"SE","999999","BADALONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,"NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Sols marques viàries (inclou pas vianants)","Doble sentit","Col·lisió frontal","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners",22.12,"Nit","Col.lisió de vehicles en marxa","dill-dij"
2022,"Zona urbana",2022-04-11,"SE","999999","BARCELONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,"100","No","Si","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","NA","Un sol sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",15.3,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2022,"Zona urbana",2022-09-17,"SE","999999","GIRONA","Girones","Girona",0,1,0,1,2,0,0,0,1,1,0,0,0,"30","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Envestida (frontal lateral)","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana",12.48,"Matí","Col.lisió de vehicles en marxa","dis"
2022,"Zona urbana",2022-08-04,"SE","999999","ROSES","Alt Emporda","Girona",0,1,0,1,2,0,0,0,1,1,0,0,0,"40","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Envestida (frontal lateral)","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners",15.07,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2022,"Carretera",2022-01-19,"TV-3319","10,5","ULLDECONA","Montsia","Tarragona",1,0,0,1,1,0,0,0,0,1,0,0,0,"100","No","No n'hi ha","Terraplé","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners",17.18,"Tarda","Sortida de la calcada sense especificar","dill-dij"
2022,"Zona urbana",2022-10-17,"SE","999999","OLOT","Garrotxa","Girona",0,1,0,1,1,1,0,0,0,0,0,0,0,"100","Si","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","Si","No","No","No","No","No","No","No","En secció","Genérica via","De nit, il·luminació artificial suficient","NA","Doble sentit","Atropellament","NA","Zona urbana","Relliscós","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",20.04,"Tarda","Atropellament","dill-dij"
2022,"Carretera",2022-11-26,"BV-3012","1,2","RAJADELL","Bages","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,"60","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De nit, sense llum artificial","Sols marques viàries (inclou pas vianants)","Doble sentit","Col·lisió frontal","Enllaç d'entrada o eixida","Carretera","Sec i net","Carretera convencional","Provincial","Canvi rasant","Calma, vent molt suau","CapDeSetmana",19.53,"Tarda","Col.lisió de vehicles en marxa","dis"
2022,"Zona urbana",2022-01-14,"SE","999999","SALOU","Tarragones","Tarragona",0,1,0,1,2,0,0,0,1,1,0,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Arribant o eixint intersecció fins 50m","Genérica via","De dia, dia clar","NA","Doble sentit","Caiguda en la via","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",8.15,"Matí","Bolcada a la calcada","div"
2022,"Carretera",2022-02-11,"C-32","122","CALELLA","Maresme","Barcelona",0,1,2,3,2,0,0,0,1,1,0,0,0,"999","No","No n'hi ha","Sense Especificar","NA","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Arribant o eixint intersecció fins 50m","Genérica via","De dia, dia clar","Sols norma prioritat de pas","NA","Xoc amb animal a la calçada","Encreuament o intersecció en X o +","Carretera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","CapDeSetmana",20.59,"Tarda","Col.lisió d'un vehicle contra un obstacle de la calcada","div"
2022,"Zona urbana",2022-10-12,"SE","999999","LLORET DE MAR","Selva","Girona",0,1,0,1,2,0,0,1,0,1,0,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Encalç","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",17.55,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2022,"Zona urbana",2022-07-01,"SE","999999","BADALONA","Barcelones","Barcelona",1,0,0,1,2,0,0,0,1,1,0,0,0,"NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana",15.06,"Tarda","Col.lisió de vehicles en marxa","div"
